iter	Passed	Remaining
0	164	164164
1	167	83360
2	169	56259
3	171	42625
4	174	34639
5	176	29182
6	178	25264
7	180	22328
8	182	20048
9	183	18181
10	185	16640
11	186	15340
12	187	14234
13	188	13291
14	189	12469
15	191	11751
16	193	11175
17	194	10619
18	195	10109
19	196	9646
20	198	9232
21	199	8855
22	200	8510
23	201	8197
24	202	7909
25	203	7638
26	205	7390
27	206	7160
28	207	6944
29	208	6743
30	209	6555
31	210	6378
32	212	6212
33	213	6055
34	214	5919
35	216	5788
36	217	5659
37	218	5540
38	220	5425
39	221	5312
40	222	5204
41	223	5101
42	224	5004
43	225	4910
44	227	4819
45	228	4733
46	229	4650
47	230	4572
48	231	4497
49	233	4428
50	234	4358
51	235	4298
52	237	4241
53	238	4178
54	239	4117
55	240	4058
56	241	4001
57	242	3945
58	244	3892
59	245	3840
60	246	3790
61	247	3743
62	248	3698
63	249	3653
64	250	3608
65	251	3566
66	253	3524
67	254	3485
68	255	3445
69	256	3408
70	257	3373
71	259	3347
72	261	3317
73	262	3283
74	263	3249
75	264	3217
76	265	3185
77	266	3154
78	268	3124
79	269	3094
80	270	3065
81	271	3037
82	271	3004
83	273	2977
84	274	2950
85	275	2925
86	276	2900
87	277	2876
88	278	2852
89	279	2829
90	281	2811
91	282	2791
92	284	2771
93	285	2752
94	286	2734
95	288	2715
96	289	2696
97	290	2676
98	291	2656
99	293	2637
100	294	2618
101	295	2600
102	296	2581
103	297	2563
104	298	2545
105	299	2527
106	300	2510
107	302	2494
108	304	2485
109	305	2473
110	307	2458
111	308	2443
112	309	2427
113	310	2411
114	311	2396
115	312	2381
116	313	2365
117	314	2351
118	315	2336
119	316	2323
120	317	2309
121	318	2294
122	319	2281
123	321	2268
124	322	2255
125	323	2242
126	324	2229
127	326	2221
128	327	2211
129	328	2199
130	329	2187
131	331	2177
132	332	2165
133	333	2154
134	334	2143
135	335	2132
136	336	2121
137	337	2110
138	338	2099
139	340	2089
140	341	2079
141	342	2066
142	343	2058
143	344	2048
144	345	2038
145	347	2032
146	348	2024
147	350	2015
148	351	2006
149	352	1996
150	353	1988
151	354	1979
152	356	1971
153	357	1963
154	358	1954
155	359	1946
156	360	1938
157	362	1929
158	363	1921
159	364	1913
160	365	1902
161	366	1894
162	367	1886
163	368	1878
164	370	1873
165	371	1867
166	373	1862
167	374	1856
168	376	1850
169	378	1845
170	379	1841
171	381	1837
172	383	1832
173	384	1827
174	386	1821
175	387	1815
176	388	1808
177	390	1801
178	392	1802
179	394	1797
180	396	1792
181	397	1786
182	398	1780
183	400	1774
